"id","title","image","genres","addedIn","release","averageRating","rating","backlogged"
"205","Interstellar","https://image.tmdb.org/t/p/original//hHdhfkkzt0Mwec33Ux177Z7CO8w.jpg","Abenteuer,Drama,Science Fiction,","2023","2014-11-05 00:00:00.000","8.4","5","0"
"206","Drive","https://image.tmdb.org/t/p/original//602vevIURmpDfzbnv5Ubi6wIkQm.jpg","Drama,Thriller,Krimi,","2023","2011-09-16 00:00:00.000","7.6","3.5","0"
"207","Weathering With You - Das Mädchen, das die Sonne berührte","https://image.tmdb.org/t/p/original//5cE0L3msYo2cCDEXlKBb9FV2lTX.jpg","Animation,Drama,Fantasy,","2023","2020-01-15 00:00:00.000","8","4.5","0"
"208","Ready or Not - Auf die Plätze, fertig, tot","https://image.tmdb.org/t/p/original//8KxdQAakZ3mhM8e887ppuX2BVWG.jpg","Komödie,Horror,Thriller,","2023","2019-08-21 00:00:00.000","7.1","3","0"
"209","Das Ding aus einer anderen Welt","https://image.tmdb.org/t/p/original//rLHTFkhFmI39lV8jdK3cs94xgmZ.jpg","Horror,Mystery,Science Fiction,","2023","1982-06-25 00:00:00.000","8.1","3.5","0"
"210","The Marvels","https://image.tmdb.org/t/p/original//6LJBYeOovQQJJ1U1egF5zvQSuzZ.jpg","Science Fiction,Abenteuer,Action,","2023","2023-11-10 00:00:00.000","6.6","3.5","0"
"211","The Advent Calendar","https://image.tmdb.org/t/p/original//psaYUHDotafhVNAE1pZN2GkRXJY.jpg","Horror,Thriller,","2023","2021-12-01 00:00:00.000","6.6","2.5","1"
"212","Inglourious Basterds","https://image.tmdb.org/t/p/original//wRxvEhv5UvJz0h4TgXpbQ3pd1hc.jpg","Drama,Thriller,Kriegsfilm,","2023","2009-08-21 00:00:00.000","8.2","2.5","1"
"214","Brügge sehen... und sterben?","https://image.tmdb.org/t/p/original//kHFYtywpRYw3uxmdbMIZzAJu7od.jpg","Komödie,Drama,Krimi,","2023","2008-02-29 00:00:00.000","7.5","2.5","1"
"215","Chihiros Reise ins Zauberland","https://image.tmdb.org/t/p/original//wWNLsGvKqhi6cNWul0uvhqbQ4kl.jpg","Animation,Familie,Fantasy,","2023","2002-09-20 00:00:00.000","8.5","2.5","1"
"217","Porco Rosso","https://image.tmdb.org/t/p/original//5Ua30TwqJy8RPsk4q9tspl1HEfE.jpg","Familie,Komödie,Animation,","2023","1994-12-16 00:00:00.000","7.8","2.5","1"
"219","A Quiet Place 2","https://image.tmdb.org/t/p/original//7U9Izp2MaVNPqzbSYHLky6ReXvS.jpg","Science Fiction,Thriller,Horror,","2023","2021-05-28 00:00:00.000","7.5","2.5","1"
"220","Blade Runner 2049","https://image.tmdb.org/t/p/original//s8aK8nVeblPwvE1JxBCa29WCm0g.jpg","Science Fiction,Drama,","2023","2017-10-06 00:00:00.000","7.5","2.5","1"
"223","NCT NATION: To the World in Cinemas","https://image.tmdb.org/t/p/original//sQlx6uhrWq3sWqtkkfUAYEqlqxy.jpg","Musik,Dokumentarfilm,","2023","2023-12-06 00:00:00.000","0","3.5","0"
"224","Winnie the Pooh: Blood and Honey","https://image.tmdb.org/t/p/original//uYmH5R7aX5580zpzWHqRavMVnqH.jpg","Horror,Thriller,","2023","2023-02-15 00:00:00.000","5.3","0.5","0"
"225","Slotherhouse - Ein Faultier zum Fürchten","https://image.tmdb.org/t/p/original//8hZrvkjoqOMDTq4OW4T1jNleoSd.jpg","Komödie,Horror,Thriller,","2023","2023-08-30 00:00:00.000","4.5","2","0"
"226","Insidious: The Red Door","https://image.tmdb.org/t/p/original//b0CiU7LOXHdDYTAnPwWhB6JiOUQ.jpg","Horror,Mystery,Thriller,","2023","2023-07-07 00:00:00.000","6.7","3","0"
"227","Nirgendwo","https://image.tmdb.org/t/p/original//rNnYvr43E0sz8RRiKirwWi4xk3D.jpg","Thriller,Drama,","2023","2023-09-29 00:00:00.000","7.5","3.5","0"
"228","Prisoners","https://image.tmdb.org/t/p/original//r5GsQyfb8SMfNIJqiAjNt9ddb2c.jpg","Drama,Thriller,Krimi,","2023","2013-09-20 00:00:00.000","8.1","4","0"
"231","65","https://image.tmdb.org/t/p/original//eN965BUfaQ9zzW3NBAKWthZDL7H.jpg","Science Fiction,Action,Abenteuer,","2023","2023-03-10 00:00:00.000","6.1","3","0"
"232","Geistervilla","https://image.tmdb.org/t/p/original//ajRPeuZWheoTnAuMTEHJmQNdgo2.jpg","Fantasy,Komödie,Horror,","2023","2023-07-28 00:00:00.000","6.6","3","0"
"233","Aquaman: Lost Kingdom","https://image.tmdb.org/t/p/original//jjB6JnhKE5UwMnMKTRzxCbTJkSs.jpg","Action,Abenteuer,Fantasy,","2023","2023-12-22 00:00:00.000","6.5","3","0"
"236","Spider-Man: No Way Home","https://image.tmdb.org/t/p/original//iNKf4D0AzOj9GLq8ZyG3WZaqibL.jpg","Action,Abenteuer,Science Fiction,","2024","2021-12-17 00:00:00.000","8","5","0"
"237","Speak No Evil","https://image.tmdb.org/t/p/original//fpEy1uRYsyi3YS509KYvdDlE32o.jpg","Horror,Thriller,Drama,","2024","2022-09-09 00:00:00.000","6.6","4","0"
"238","Der Super Mario Bros. Film","https://image.tmdb.org/t/p/original//2VhvUgsFKIjBm9NHXeeVqkPtUqe.jpg","Animation,Familie,Abenteuer,","2024","2023-04-05 00:00:00.000","7.7","4","0"
"239","Der Exorzist: Bekenntnis","https://image.tmdb.org/t/p/original//zYSnTaVZaC5r6y0bwCUzyDIVhzM.jpg","Horror,","2024","2023-10-06 00:00:00.000","6.1","2","0"
"240","Cyst","https://image.tmdb.org/t/p/original//5nJwS765eHzCb5M8BTT2sl0lxxv.jpg","Horror,Science Fiction,Komödie,","2024","2020-09-24 00:00:00.000","4.5","0","0"
"241","Dune","https://image.tmdb.org/t/p/original//rADq1EGp4HP5uON810vVDfwdSs6.jpg","Science Fiction,Abenteuer,","2024","2021-10-22 00:00:00.000","7.8","5","0"
"242","South Park (Für Kinder Nicht Geeignet)","https://image.tmdb.org/t/p/original//kN5H9EhUqDWBAsbnbt2XNhS7BFe.jpg","Komödie,Animation,TV-Film,","2024","2023-12-20 00:00:00.000","7.5","3.5","0"
"243","Der Junge und der Reiher","https://image.tmdb.org/t/p/original//evG7UFxDdzWxSGDqOBJX2yJuC7j.jpg","Animation,Abenteuer,Fantasy,","2024","2023-12-08 00:00:00.000","7.4","5","0"
"249","The Innocents","https://image.tmdb.org/t/p/original//exOAKvWgMunzOYqbmQtaWqi6Blk.jpg","Horror,Drama,Fantasy,","2024","2022-05-13 00:00:00.000","7","3","0"
"250","Dune: Part Two","https://image.tmdb.org/t/p/original//iw0O0unCWvHmBB1QlRWVpnKhtJ3.jpg","Action,Abenteuer,Science Fiction,","2024","2024-03-01 00:00:00.000","8.5","5","0"
"251","Orphan: First Kill","https://image.tmdb.org/t/p/original//4c4r8P1yuqd8qCDDWmTU3h7q8Lv.jpg","Horror,Thriller,","2024","2022-08-19 00:00:00.000","6.7","3.5","0"
"255","Cocaine Bear","https://image.tmdb.org/t/p/original//zTKAsyg0kmYwEzAiPn94rC3oYwQ.jpg","Thriller,Komödie,Krimi,","2024","2023-02-24 00:00:00.000","6.1","2.5","0"
"256","Damsel","https://image.tmdb.org/t/p/original//7p2YM1iLhs4iS3BfaOiOqltMn0x.jpg","Mystery,Fantasy,Action,","2024","2024-03-08 00:00:00.000","7.2","2.5","0"
"257","Scary Stories to Tell in the Dark","https://image.tmdb.org/t/p/original//kNjEmQGBm9cYqTB03r6yECozQyW.jpg","Horror,Thriller,","2024","2019-08-09 00:00:00.000","6.5","3.5","0"
"258","Maboroshi","https://image.tmdb.org/t/p/original//hc6CYqHW4W9S5KLgMyeHPMyPrJz.jpg","Animation,Drama,Liebesfilm,","2024","2024-01-15 00:00:00.000","7.5","4","0"
"259","Oldboy","https://image.tmdb.org/t/p/original//w7jTIU9a6Zqp0n1TsTF1lZPlZ1Z.jpg","Drama,Thriller,Mystery,","2024","2005-03-25 00:00:00.000","8.3","4.5","0"
"260","Wind River","https://image.tmdb.org/t/p/original//5JNpgujZl2LbUoqwntMCycV2zhJ.jpg","Krimi,Drama,Mystery,","2024","2017-08-04 00:00:00.000","7.4","3.5","0"
"261","The Raid 2","https://image.tmdb.org/t/p/original//2AoH16dEeodzOR1nu9j88MHPUmU.jpg","Action,Krimi,Thriller,","2024","2014-03-28 00:00:00.000","7.6","3.5","0"
"262","The Raid","https://image.tmdb.org/t/p/original//Icx11EkqhjZiiDmGLGdtPq0geT.jpg","Action,Thriller,Krimi,","2024","2012-03-23 00:00:00.000","7.4","3.5","0"
"263","Arrival","https://image.tmdb.org/t/p/original//4gUgPIhPBoamMdbvqHyjMmb2K60.jpg","Drama,Science Fiction,Mystery,","2024","2016-11-11 00:00:00.000","7.6","4.5","0"
"265","Die Legende der Prinzessin Kaguya","https://image.tmdb.org/t/p/original//h9Sfm5BFN4XZswXbtWUzcS8mqeE.jpg","Animation,Drama,Fantasy,","2024","2014-10-17 00:00:00.000","8.1","3.5","0"
"267","Three Billboards Outside Ebbing, Missouri","https://image.tmdb.org/t/p/original//hvnyHEyl06iixz2ONnMMTkeEOAJ.jpg","Krimi,Drama,","2024","2017-12-01 00:00:00.000","8.1","2","2"
"268","Kikis kleiner Lieferservice","https://image.tmdb.org/t/p/original//tqvaBI50VYztv8jzlsY9982278S.jpg","Animation,Familie,Fantasy,","2024","1998-05-23 00:00:00.000","7.8","4.5","2"
"269","Fight Club","https://image.tmdb.org/t/p/original//rUPKPWBpr2ZbDXXZpT0qgYqTlG9.jpg","Drama,","2024","1999-10-15 00:00:00.000","8.4","4","0"
"271","Civil War","https://image.tmdb.org/t/p/original//BhPpdCICHAl4GQXtX1hdVpXfjK.jpg","Kriegsfilm,Action,Drama,","2024","2024-04-12 00:00:00.000","7.4","3","0"
"272","Baby Driver","https://image.tmdb.org/t/p/original//9HREtuwIVnCdwfIrIyhm98t86AS.jpg","Action,Krimi,","2024","2017-06-28 00:00:00.000","7.5","2.5","1"
"273","Dual","https://image.tmdb.org/t/p/original//wDEse2TQRiyfhdlusSXBdkDOQRj.jpg","Science Fiction,Komödie,Drama,","2024","2022-04-15 00:00:00.000","6","2.5","1"
"274","Final Fantasy VII: Advent Children","https://image.tmdb.org/t/p/original//pTIXM2yu8McSlcQVs1VjVSNC45x.jpg","Animation,Action,Abenteuer,","2024","2006-04-25 00:00:00.000","7.1","2.5","0"
"275","Prestige - Die Meister der Magie","https://image.tmdb.org/t/p/original//rN2eGbRpbJw8ZFVDiQfDxsknirP.jpg","Drama,Mystery,Science Fiction,","2024","2006-10-17 00:00:00.000","8.2","2.5","1"
"276","Furiosa: A Mad Max Saga","https://image.tmdb.org/t/p/original//q7AWq2BZ78mwwKjF3uFYrUON89c.jpg","Action,Abenteuer,Science Fiction,","2024","2024-05-24 00:00:00.000","7.8","4.5","0"
"277","Ex Machina","https://image.tmdb.org/t/p/original//qbXnyOqQGWtvcO3eIyKiBkWKg5M.jpg","Drama,Science Fiction,","2024","2015-04-10 00:00:00.000","7.6","4","0"
"278","Godzilla Minus One","https://image.tmdb.org/t/p/original//jy0CKGuj5gcWn6DAnJ4HEdUgjJO.jpg","Science Fiction,Horror,Action,","2024","2023-12-01 00:00:00.000","7.7","4","0"
"279","Mad Max: Fury Road","https://image.tmdb.org/t/p/original//6zI7lI5Usf5z6wXH9KPWvGWvKS7.jpg","Action,Abenteuer,Science Fiction,","2024","2015-05-15 00:00:00.000","7.6","4.5","0"
"280","Kill Bill - Volume 1","https://image.tmdb.org/t/p/original//blQvG2f7Lm8DFOn4lAfAZ1zEHVG.jpg","Action,Krimi,","2024","2003-10-10 00:00:00.000","8","4","0"
"281","Kill Bill - Volume 2","https://image.tmdb.org/t/p/original//dKkNunmTxT5djk2KPPtIWmVtBNz.jpg","Action,Krimi,Thriller,","2024","2004-04-16 00:00:00.000","7.9","3.5","0"
"282","One for the Road","https://image.tmdb.org/t/p/original//hhfrc52Mal3YcalW10QOjakML7.jpg","Komödie,Drama,","2024","2023-10-26 00:00:00.000","6.2","2.5","1"
"283","PET: Wenn du etwas liebst, lass es nicht los","https://image.tmdb.org/t/p/original//5URC1163UXB2JQPduMNWKSZhUGv.jpg","Horror,Thriller,","2024","2016-12-02 00:00:00.000","5.8","2.5","0"
"284","Kinds of Kindness","https://image.tmdb.org/t/p/original//ohXU0BSJvJuaEuKZJfNy1ZsWCUE.jpg","Drama,Komödie,","2024","2024-06-21 00:00:00.000","6.9","3.5","0"
"285","Poor Things","https://image.tmdb.org/t/p/original//37x8UdSpwoTOva5AUdnHw5VCDD1.jpg","Science Fiction,Liebesfilm,Komödie,","2024","2023-12-08 00:00:00.000","7.8","4","0"
"286","Sicario","https://image.tmdb.org/t/p/original//s9v9EMtparHlLEF43u4gZMielu8.jpg","Action,Krimi,Thriller,","2024","2015-09-18 00:00:00.000","7.4","3","0"
"287","Sicario 2","https://image.tmdb.org/t/p/original//ko0Oi6CYCTfNLCJRN2TuBWXdkFI.jpg","Action,Krimi,Thriller,","2024","2018-06-29 00:00:00.000","6.9","2.5","0"
"288","Donnie Darko","https://image.tmdb.org/t/p/original//yPtjm9QVsXLMsrYFEFZGzdXqsbz.jpg","Fantasy,Drama,Mystery,","2024","2001-10-26 00:00:00.000","7.8","4","0"
"293","Deadpool & Wolverine","https://image.tmdb.org/t/p/original//chDpMyvXNDFMhg3yUknITnGUCUk.jpg","Science Fiction,Action,Komödie,","2024","2024-07-26 00:00:00.000","8.2","4","0"
"294","Legend","https://image.tmdb.org/t/p/original//71d2idrFsrTxkeR4uZCnmkH2EaF.jpg","Krimi,Thriller,","2024","2015-11-20 00:00:00.000","7.1","3","0"
"295","Black Swan","https://image.tmdb.org/t/p/original//wX0hBg6pZFFbvgMvaOHp4Bl4pVL.jpg","Drama,Thriller,Horror,","2024","2010-12-03 00:00:00.000","7.7","4","0"
"296","Evil Dead Rise","https://image.tmdb.org/t/p/original//o69AfVK0YXkbyI0QVayindEFC26.jpg","Horror,Thriller,","2024","2023-04-21 00:00:00.000","7","3","0"
"297","American History X","https://image.tmdb.org/t/p/original//euypWkaYFOLW3e5rLIcTAjWnhhT.jpg","Drama,","2024","1998-10-30 00:00:00.000","8.3","2.5","1"
"298","Neon Genesis Evangelion: The End of Evangelion","https://image.tmdb.org/t/p/original//j6G24dqI4WgUtChhWjfnI4lnmiK.jpg","Animation,Science Fiction,Action,","2024","2024-03-17 00:00:00.000","8.3","2","0"
