"id","title","addedIn","image","release","genres","platforms","averageRating","trophy","rating","backlogged"
"76","Zombieland: Headshot Fever","2021","https://images.igdb.com/igdb/image/upload/t_cover_big/co2wes.jpg","2021-03-25 01:00:00.000","Shooter,Arcade,","Oculus VR,","0","0","2.5","0"
"77","SWARM","2021","https://images.igdb.com/igdb/image/upload/t_cover_big/co2xee.jpg","2021-04-08 02:00:00.000","Shooter,Indie,Arcade,","Oculus VR,Steam VR,","8","0","2.5","0"
"78","Beat Saber","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co20ux.jpg","2019-05-21 02:00:00.000","Music,Sport,Indie,","Steam VR,PlayStation VR,","8.5","0","5","0"
"79","God of War Ragnarök","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co5s5v.jpg","2022-11-09 01:00:00.000","Hack and slash/Beat 'em up,Adventure,","PS4,PS5,","9.5","1","5","0"
"80","Hogwarts Legacy","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co2gn3.jpg","2023-02-10 01:00:00.000","RPG,Adventure,","PC,PS4,XONE,Switch,PS5,Series X,","8.4","1","4","0"
"81","Demon's Souls","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co2kj9.jpg","2020-11-12 01:00:00.000","RPG,Adventure,","PS5,","8.9","1","5","0"
"84","A Short Hike","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co6e83.jpg","2019-07-30 02:00:00.000","Platform,Adventure,Indie,","Linux,PC,Mac,PS4,XONE,Switch,","7.5","1","3.5","0"
"85","The Pathless","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co2hm5.jpg","2020-11-12 01:00:00.000","RPG,Adventure,Indie,","PC,Mac,iOS,PS4,XONE,Switch,PS5,Series X,","8","1","4","0"
"86","Dark Souls: Remastered","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co2uro.jpg","2018-05-23 02:00:00.000","RPG,Adventure,","PC,PS4,XONE,Switch,","8.7","0","5","0"
"87","The Legend of Zelda: Tears of the Kingdom","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co5vmg.jpg","2023-05-12 02:00:00.000","Adventure,","Switch,","9.8","0","4","0"
