"id","title","addedIn","image","release","genres","platforms","averageRating","trophy","rating","backlogged"
"19","Overcooked! All You Can Eat","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co2t83.jpg","2020-11-12 01:00:00.000","Simulator,Strategy,Indie,","PC,PS4,XONE,Switch,PS5,Series X,Stadia,","8.5","0","3","0"
"20","Bloodborne","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co1rba.jpg","2015-03-24 01:00:00.000","RPG,Adventure,","PS4,","9.1","0","5","0"
"21","inFAMOUS: Second Son","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co1izy.jpg","2014-03-21 01:00:00.000","Shooter,Platform,Adventure,","PS4,","7.9","1","4.5","0"
"22","The Walking Dead: Saints & Sinners","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co1tgc.jpg","2020-01-23 01:00:00.000","RPG,Simulator,Strategy,Adventure,Indie,","Steam VR,PlayStation VR,","7.7","0","4","0"
"23","Sekiro: Shadows Die Twice","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co2a23.jpg","2019-03-22 01:00:00.000","Hack and slash/Beat 'em up,Adventure,","PC,PS4,XONE,Stadia,","9","1","5","0"
"24","Death's Door","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co45xc.jpg","2021-07-20 02:00:00.000","Platform,RPG,Hack and slash/Beat 'em up,Adventure,Indie,Arcade,","PC,PS4,XONE,Switch,PS5,Series X,","8.5","1","4","0"
"25","Elden Ring","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co4jni.jpg","2022-02-25 01:00:00.000","RPG,Adventure,","PC,PS4,XONE,PS5,Series X,","9.6","1","5","0"
"26","Sifu","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co4h5s.jpg","2022-02-08 01:00:00.000","Fighting,Hack and slash/Beat 'em up,Indie,","PC,PS4,XONE,Switch,PS5,Series X,","8","1","5","0"
"27","Ghostwire: Tokyo","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co55xn.jpg","2022-03-24 01:00:00.000","Adventure,","PC,PS5,","7.6","0","3","0"
"28","Horizon Forbidden West","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co2gvu.jpg","2022-02-18 01:00:00.000","RPG,Adventure,","PS4,PS5,","9","0","2.5","0"
"29","Untitled Goose Game","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co1vqc.jpg","2019-09-20 02:00:00.000","Puzzle,Simulator,Adventure,Indie,","PC,Mac,PS4,XONE,Switch,","8","0","2.5","0"
"30","Sackboy: A Big Adventure","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co4522.jpg","2020-11-12 01:00:00.000","Platform,Adventure,","PC,PS4,PS5,","8","1","4.5","0"
"31","Metroid Dread","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co39zx.jpg","2021-10-07 02:00:00.000","Platform,Adventure,","Switch,","8.4","2","4","0"
"32","Dicey Dungeons","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co2h3y.jpg","2019-08-13 02:00:00.000","RPG,Strategy,Adventure,Indie,Card & Board Game,","Linux,PC,Mac,Android,iOS,XONE,Switch,Series X,","8.1","0","3","0"
"33","Luigi's Mansion 3","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co22a9.jpg","2019-10-31 01:00:00.000","Adventure,","Switch,","8.6","0","3","0"
"34","Returnal","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co3wc1.jpg","2021-04-30 02:00:00.000","Shooter,","PC,PS5,","8.8","1","5","0"
"35","Overwatch 2","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co5tkm.jpg","2022-10-04 02:00:00.000","Shooter,","PC,PS4,XONE,Switch,PS5,Series X,","7.8","0","1","0"
"36","TOEM","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co56d2.jpg","2021-09-17 02:00:00.000","Puzzle,Adventure,Indie,","PC,Mac,Android,iOS,Switch,PS5,","9","1","3.5","0"
"37","NieR Replicant ver.1.22474487139...","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co5h0n.jpg","2021-04-22 02:00:00.000","RPG,Adventure,","PC,PS4,XONE,","8.2","0","3.5","0"
"38","Hollow Knight","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co1rgi.jpg","2017-02-24 01:00:00.000","Platform,Adventure,Indie,","Linux,PC,Mac,Switch,","9.2","0","5","0"
"39","God of War Ragnarök","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co5s5v.jpg","2022-11-09 01:00:00.000","Hack and slash/Beat 'em up,Adventure,","PS4,PS5,","9.6","1","5","0"
"40","Pokémon Violet","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co5sfa.jpg","2022-11-18 01:00:00.000","RPG,TBS,Adventure,","Switch,","7.7","2","2","0"
"41","Assassin's Creed Valhalla","2021","https://images.igdb.com/igdb/image/upload/t_cover_big/co2ed3.jpg","2020-11-10 01:00:00.000","RPG,Adventure,","PC,PS4,XONE,PS5,Series X,Stadia,","8.1","1","3.5","0"
"42","Ratchet & Clank","2021","https://images.igdb.com/igdb/image/upload/t_cover_big/co230k.jpg","2016-04-12 02:00:00.000","Shooter,Platform,Adventure,","PS4,","8.2","0","4","0"
"43","Bugsnax","2021","https://images.igdb.com/igdb/image/upload/t_cover_big/co45t5.jpg","2020-11-12 01:00:00.000","Puzzle,Adventure,Indie,","PC,Mac,PS4,XONE,Switch,PS5,Series X,","7.6","1","4","0"
"44","Edna & Harvey: Harvey's New Eyes","2021","https://images.igdb.com/igdb/image/upload/t_cover_big/cg5jele28ikhzg3xbvix.jpg","2012-10-16 02:00:00.000","Point-and-click,Puzzle,Adventure,Indie,","Linux,PC,Mac,iOS,PS4,XONE,Switch,","7.5","1","4.5","0"
"46","Control: Ultimate Edition","2021","https://images.igdb.com/igdb/image/upload/t_cover_big/co2jhk.jpg","2020-10-28 01:00:00.000","Shooter,RPG,","PS5, PS4,","8.3","1","5","0"
"47","The Wolf Among Us","2021","https://images.igdb.com/igdb/image/upload/t_cover_big/co1rcy.jpg","2013-10-11 02:00:00.000","Point-and-click,Adventure,","PC,PS3,X360,Mac,Android,iOS,Vita,PS4,XONE,","8.2","1","3","0"
