"id","title","image","genres","addedIn","release","seasons","averageRating","episode","rating","backlogged"
"49","What If...?","https://image.tmdb.org/t/p/original//lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2021","2021-08-11 00:00:00.000","1","8.3","0","3.5","0"
"50","Jujutsu Kaisen","https://image.tmdb.org/t/p/original//ipKRfX37GyXhR3RA3pm4FYDu1Rc.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2021","2020-10-03 00:00:00.000","1","8.6","0","5","0"
"51","Clickbait","https://image.tmdb.org/t/p/original//89Asq5Gx1YvmfJ4YhygTT9rFvtl.jpg","Drama,Krimi,Mystery,","2021","2021-08-25 00:00:00.000","1","7.5","0","3","0"
"52","Demon Slayer: Kimetsu no Yaiba","https://image.tmdb.org/t/p/original//uspk5k68Hamd86oCgLoUQ1s6SuW.jpg","Animation,Sci-Fi & Fantasy,Action & Adventure,","2021","2019-04-06 00:00:00.000","1","8.7","0","5","0"
"53","Haus des Geldes","https://image.tmdb.org/t/p/original//jrrC8Rk2y7GiSz0psIlrk4RIiet.jpg","Krimi,Drama,","2021","2017-05-02 00:00:00.000","5","8.3","0","4.5","0"
"54","Sex Education","https://image.tmdb.org/t/p/original//3wFAPEohDCmiMAGDZNRmMa2B7mH.jpg","Komödie,Drama,","2021","2019-01-11 00:00:00.000","1-3","8.3","0","4","0"
"55","South Park","https://image.tmdb.org/t/p/original//iiCY2QIGSnmtVkIdjkKAfwDs0KF.jpg","Animation,Komödie,","2021","1997-08-13 00:00:00.000","24","8.3","0","4","0"
"56","Squid Game","https://image.tmdb.org/t/p/original//f6Rq4kq0ZrXe8Vtu4kdPVX4VmLs.jpg","Action & Adventure,Mystery,Drama,","2021","2021-09-17 00:00:00.000","1","7.8","0","3.5","0"
"57","Star Wars: Visionen","https://image.tmdb.org/t/p/original//tyEgE0plST1EuwLaLi9pwAQrLyw.jpg","Animation,Sci-Fi & Fantasy,Action & Adventure,","2021","2021-09-22 00:00:00.000","1","7.3","0","2.5","0"
"58","You - Du wirst mich lieben","https://image.tmdb.org/t/p/original//5rFEfWK84qSbU3PhTSNXNBrSccY.jpg","Mystery,Krimi,Drama,","2021","2018-09-09 00:00:00.000","3","8.1","0","5","0"
"59","Attack on Titan","https://image.tmdb.org/t/p/original//8Cdl0sJQikHQvgn5wKJZ221Ceve.jpg","Sci-Fi & Fantasy,Animation,Action & Adventure,","2021","2013-04-07 00:00:00.000","4","8.6","0","5","0"
"60","The Witcher","https://image.tmdb.org/t/p/original//phCNECtEhlyItIkatYEgDgB90tf.jpg","Drama,Action & Adventure,Sci-Fi & Fantasy,","2021","2019-12-20 00:00:00.000","2","8.2","0","3","0"
"61","Hawkeye","https://image.tmdb.org/t/p/original//2lIn12PaorWB4lDMzvcA8FSkY1p.jpg","Drama,Komödie,Action & Adventure,","2021","2021-11-24 00:00:00.000","1","8.1","0","4.5","0"
"62","LOL: Last One Laughing","https://image.tmdb.org/t/p/original//85Fx3ax4PLQlAODI1K8Kk0kAUdO.jpg","Komödie,","2021","2018-12-13 00:00:00.000","1","7.5","0","1","0"
"64","SPY x FAMILY","https://image.tmdb.org/t/p/original//3r4LYFuXrg3G8fepysr4xSLWnQL.jpg","Animation,Komödie,Action & Adventure,","2023","2022-04-09 00:00:00.000","1","8.7","0","5","0"
"65","The Mandalorian","https://image.tmdb.org/t/p/original//eU1i6eHXlzMOlEq0ku1Rzq7Y4wA.jpg","Sci-Fi & Fantasy,Action & Adventure,Drama,","2023","2019-11-12 00:00:00.000","3","8.5","0","5","0"
"67","Chainsaw Man","https://image.tmdb.org/t/p/original//npdB6eFzizki0WaZ1OvKcJrWe97.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2023","2022-10-12 00:00:00.000","1","8.7","0","5","0"
"68","The Winchesters","https://image.tmdb.org/t/p/original//oyleYabGfn6c50bIo4M3c7ogrfL.jpg","Action & Adventure,Sci-Fi & Fantasy,","2023","2022-10-11 00:00:00.000","1","8.1","0","3.5","0"
"69","My Hero Academia","https://image.tmdb.org/t/p/original//ivOLM47yJt90P19RH1NvJrAJz9F.jpg","Action & Adventure,Animation,","2023","2016-04-03 00:00:00.000","6","8.7","0","4","0"
"70","You - Du wirst mich lieben","https://image.tmdb.org/t/p/original//7bEYwjUvlJW7GerM8GYmqwl4oS3.jpg","Mystery,Krimi,Drama,","2023","2018-09-09 00:00:00.000","4","8.1","0","4.5","0"
"71","The Big Bang Theory","https://image.tmdb.org/t/p/original//ooBGRQBdbGzBxAVfExiO8r7kloA.jpg","Komödie,","2023","2007-09-24 00:00:00.000","8-12","7.9","0","3","0"
"72","Young Sheldon","https://image.tmdb.org/t/p/original//MpdROQ5XxQqOMKhJlLUf7PTxIC.jpg","Komödie,Familie,","2023","2017-09-25 00:00:00.000","1-2","8.1","0","2.5","0"
"77","Black Mirror","https://image.tmdb.org/t/p/original//5UaYsGZOFhjFDwQh6GuLjjA1WlF.jpg","Sci-Fi & Fantasy,Drama,Mystery,","2023","2011-12-04 00:00:00.000","6","8.3","0","2.5","0"
"79","Cyberpunk: Edgerunners","https://image.tmdb.org/t/p/original//7jSWOc6jWSw5hZ78HB8Hw3pJxuk.jpg","Action & Adventure,Animation,Sci-Fi & Fantasy,","2023","2022-09-13 00:00:00.000","0","8.6","0","3.5","0"
"80","Demon Slayer: Kimetsu no Yaiba","https://image.tmdb.org/t/p/original//xUfRZu2mi8jH6SzQEJGP6tjBuYj.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2023","2019-04-06 00:00:00.000","3","8.7","0","5","0"
"81","Invincible","https://image.tmdb.org/t/p/original//lxVS24ZhG3WQf3IMbkFIg6olT6A.jpg","Animation,Sci-Fi & Fantasy,Action & Adventure,","2023","2021-03-25 00:00:00.000","2","8.7","0","5","0"
